"Date","Country","Confirmed","Recovered","Deaths","Day"
"2020-01-23","Italy",0,0,0,1
"2020-01-24","Italy",0,0,0,2
"2020-01-25","Italy",0,0,0,3
"2020-01-26","Italy",0,0,0,4
"2020-01-27","Italy",0,0,0,5
"2020-01-28","Italy",0,0,0,6
"2020-01-29","Italy",0,0,0,7
"2020-01-30","Italy",0,0,0,8
"2020-01-31","Italy",2,0,0,9
"2020-02-01","Italy",2,0,0,10
"2020-02-02","Italy",2,0,0,11
"2020-02-03","Italy",2,0,0,12
"2020-02-04","Italy",2,0,0,13
"2020-02-05","Italy",2,0,0,14
"2020-02-06","Italy",2,0,0,15
"2020-02-07","Italy",3,0,0,16
"2020-02-08","Italy",3,0,0,17
"2020-02-09","Italy",3,0,0,18
"2020-02-10","Italy",3,0,0,19
"2020-02-11","Italy",3,0,0,20
"2020-02-12","Italy",3,0,0,21
"2020-02-13","Italy",3,0,0,22
"2020-02-14","Italy",3,0,0,23
"2020-02-15","Italy",3,0,0,24
"2020-02-16","Italy",3,0,0,25
"2020-02-17","Italy",3,0,0,26
"2020-02-18","Italy",3,0,0,27
"2020-02-19","Italy",3,0,0,28
"2020-02-20","Italy",3,0,0,29
"2020-02-21","Italy",20,0,1,30
"2020-02-22","Italy",62,1,2,31
"2020-02-23","Italy",155,2,3,32
"2020-02-24","Italy",229,1,7,33
"2020-02-25","Italy",322,1,10,34
"2020-02-26","Italy",453,3,12,35
"2020-02-27","Italy",655,45,17,36
"2020-02-28","Italy",888,46,21,37
"2020-02-29","Italy",1128,46,29,38
"2020-03-01","Italy",1694,83,34,39
"2020-03-02","Italy",2036,149,52,40
"2020-03-03","Italy",2502,160,79,41
"2020-03-04","Italy",3089,276,107,42
"2020-03-05","Italy",3858,414,148,43
"2020-03-06","Italy",4636,523,197,44
"2020-03-07","Italy",5883,589,233,45
"2020-03-08","Italy",7375,622,366,46
"2020-03-09","Italy",9172,724,463,47
"2020-03-10","Italy",10149,724,631,48
"2020-03-11","Italy",12462,1045,827,49
"2020-03-12","Italy",12462,1045,827,50
"2020-03-13","Italy",17660,1439,1266,51
"2020-03-14","Italy",21157,1966,1441,52
"2020-03-15","Italy",24747,2335,1809,53
"2020-03-16","Italy",27980,2749,2158,54
"2020-03-17","Italy",31506,2941,2503,55
"2020-03-18","Italy",35713,4025,2978,56
"2020-03-19","Italy",41035,4440,3405,57
"2020-03-20","Italy",47021,4440,4032,58
"2020-03-21","Italy",53578,6072,4825,59
"2020-03-22","Italy",59138,7024,5476,60
"2020-03-23","Italy",63927,7024,6077,61
"2020-03-24","Italy",69176,8326,6820,62
"2020-03-25","Italy",74386,9362,7503,63
"2020-03-26","Italy",80589,10361,8215,64
"2020-03-27","Italy",86498,10950,9134,65
"2020-03-28","Italy",92472,12384,10023,66
"2020-03-29","Italy",97689,13030,10779,67
"2020-03-30","Italy",101739,14620,11591,68
"2020-03-31","Italy",105792,15729,12428,69
"2020-04-01","Italy",110574,16847,13155,70
"2020-04-02","Italy",115242,18278,13915,71
"2020-04-03","Italy",119827,19758,14681,72
"2020-04-04","Italy",124632,20996,15362,73
"2020-04-05","Italy",128948,21815,15887,74
"2020-04-06","Italy",132547,22837,16523,75
"2020-04-07","Italy",135586,24392,17127,76
"2020-04-08","Italy",139422,26491,17669,77
"2020-04-09","Italy",143626,28470,18279,78
"2020-04-10","Italy",147577,30455,18849,79
"2020-04-11","Italy",152271,32534,19468,80
"2020-04-12","Italy",156363,34211,19899,81
"2020-04-13","Italy",159516,35435,20465,82
"2020-04-14","Italy",162488,37130,21067,83
"2020-04-15","Italy",165155,38092,21645,84
"2020-04-16","Italy",168941,40164,22170,85
"2020-04-17","Italy",172434,42727,22745,86
"2020-04-18","Italy",175925,44927,23227,87
"2020-04-19","Italy",178972,47055,23660,88
"2020-04-20","Italy",181228,48877,24114,89
"2020-04-21","Italy",183957,51600,24648,90
"2020-04-22","Italy",187327,54543,25085,91
