"Date","Country","Confirmed","Recovered","Deaths","Day","dcases","drecovered","dDeaths"
2020-01-22,"US",1,0,0,1,8,-5,0
2020-01-23,"US",1,0,0,2,8,-5,0
2020-01-24,"US",2,0,0,3,10,-5,0
2020-01-25,"US",2,0,0,4,9,-5,0
2020-01-26,"US",5,0,0,5,15,-5,0
2020-01-27,"US",5,0,0,6,12,-5,0
2020-01-28,"US",5,0,0,7,12,-5,0
2020-01-29,"US",5,0,0,8,12,-5,0
2020-01-30,"US",5,0,0,9,12,-5,0
2020-01-31,"US",7,0,0,10,16,-5,0
2020-02-01,"US",8,0,0,11,16,-5,0
2020-02-02,"US",8,0,0,12,15,-5,0
2020-02-03,"US",11,0,0,13,21,-5,0
2020-02-04,"US",11,0,0,14,18,-5,0
2020-02-05,"US",11,0,0,15,18,-5,0
2020-02-06,"US",11,0,0,16,18,-5,0
2020-02-07,"US",11,0,0,17,18,-5,0
2020-02-08,"US",11,0,0,18,18,-5,0
2020-02-09,"US",11,3,0,19,18,0,0
2020-02-10,"US",11,3,0,20,18,-2,0
2020-02-11,"US",12,3,0,21,20,-2,0
2020-02-12,"US",12,3,0,22,19,-2,0
2020-02-13,"US",13,3,0,23,21,-2,0
2020-02-14,"US",13,3,0,24,20,-2,0
2020-02-15,"US",13,3,0,25,20,-2,0
2020-02-16,"US",13,3,0,26,20,-2,0
2020-02-17,"US",13,3,0,27,20,-2,0
2020-02-18,"US",13,3,0,28,20,-2,0
2020-02-19,"US",13,3,0,29,20,-2,0
2020-02-20,"US",13,3,0,30,20,-2,0
2020-02-21,"US",15,5,0,31,24,2,0
2020-02-22,"US",15,5,0,32,22,1,0
2020-02-23,"US",15,5,0,33,22,1,0
2020-02-24,"US",51,5,0,34,90,-1,0
2020-02-25,"US",51,6,0,35,58,3,0
2020-02-26,"US",57,6,0,36,69,2,0
2020-02-27,"US",58,6,0,37,66,2,0
2020-02-28,"US",60,7,0,38,69,4,0
2020-02-29,"US",68,7,1,39,82,4,2
2020-03-01,"US",74,7,1,40,86,3,1
2020-03-02,"US",98,7,6,41,128,6,10
2020-03-03,"US",118,7,7,42,143,3,8
2020-03-04,"US",149,7,11,43,185,5,15
2020-03-05,"US",217,7,12,44,286,2,14
2020-03-06,"US",262,7,14,45,310,5,16
2020-03-07,"US",402,7,17,46,536,3,22
2020-03-08,"US",518,7,21,47,631,7,26
2020-03-09,"US",583,7,22,48,650,9,24
2020-03-10,"US",959,8,28,49,1308,5,39
2020-03-11,"US",1281,8,36,50,1583,14,47
2020-03-12,"US",1663,12,41,51,2019,22,51
2020-03-13,"US",2179,12,49,52,2658,25,63
2020-03-14,"US",2727,12,58,53,3236,34,73
2020-03-15,"US",3499,12,73,54,4213,40,96
2020-03-16,"US",4632,17,99,55,5675,57,136
2020-03-17,"US",6421,17,133,56,8058,57,186
2020-03-18,"US",7783,105,164,57,9042,240,207
2020-03-19,"US",13747,121,258,58,19129,105,422
2020-03-20,"US",19273,147,349,59,24284,260,499
2020-03-21,"US",25600,176,442,60,31337,357,602
2020-03-22,"US",33276,178,586,61,40238,426,802
2020-03-23,"US",43843,178,786,62,53381,448,1085
2020-03-24,"US",53736,348,1008,63,62727,937,1310
2020-03-25,"US",65778,361,1316,64,76713,949,1712
2020-03-26,"US",83836,681,1726,65,100031,1319,2283
2020-03-27,"US",101657,869,2265,66,117808,1761,2908
2020-03-28,"US",121465,1072,2731,67,139273,2072,3365
2020-03-29,"US",140909,2665,3420,68,158681,4729,4200
2020-03-30,"US",161831,5644,4192,69,180991,8429,5062
2020-03-31,"US",188172,7024,5367,70,212513,8980,6537
2020-04-01,"US",213242,8474,6501,71,236506,10852,7678
2020-04-02,"US",243622,9001,7921,72,271848,10628,9324
2020-04-03,"US",275367,9707,9246,73,304535,11614,10694
2020-04-04,"US",308650,14652,10855,74,339740,18055,12472
2020-04-05,"US",336802,17448,12375,75,363557,21047,13964
2020-04-06,"US",366317,19581,13894,76,394201,22993,15566
2020-04-07,"US",397121,21763,16191,77,428331,24602,18052
2020-04-08,"US",428654,23559,18270,78,459742,26511,20193
2020-04-09,"US",462780,25410,20255,79,495661,28339,22271
2020-04-10,"US",496535,28790,22333,80,529403,32348,24419
2020-04-11,"US",526396,31270,24342,81,555906,35056,26421
2020-04-12,"US",555313,32988,26086,82,583282,36819,28166
2020-04-13,"US",580619,43482,27870,83,605722,48378,29942
2020-04-14,"US",607670,47763,30262,84,636108,51985,32410
2020-04-15,"US",636350,52096,32734,85,666380,56031,34897
2020-04-16,"US",667592,54703,34827,86,698353,58254,37045
2020-04-17,"US",699706,58545,37411,87,732852,61789,39626
2020-04-18,"US",732197,64840,39753,88,764694,68620,41986
2020-04-19,"US",758809,70337,40945,89,783368,75214,42949
2020-04-20,"US",784326,72329,42659,90,809113,76071,44811
2020-04-21,"US",811865,75204,45086,91,840488,78345,47270
2020-04-22,"US",840351,77366,47412,92,869316,80164,49563
2020-04-23,"US",869170,80203,49724,93,898281,83102,51827
2020-04-24,"US",905358,99079,51493,94,938598,96298,53707
2020-04-25,"US",938154,100372,53755,95,970099,101338,55954
2020-04-26,"US",965785,106988,54881,96,990497,110092,56858
2020-04-27,"US",988197,111424,56259,97,1009023,114355,58262
2020-04-28,"US",1012582,115936,58355,98,1036871,117952,60444
2020-04-29,"US",1039909,120720,60967,99,1068343,121599,62944
2020-04-30,"US",1069424,153947,62996,100,1097483,126559,64962
2020-05-01,"US",1103461,164015,64943,101,1134769,161500,66973
2020-05-02,"US",1132539,175382,66369,102,1158370,172151,68279
